Test 			Wall clock (m:ss)
./HarmonicSeriesPlain_10.log 			0:41.51
./HarmonicSeriesPlain_11.log 			0:41.47
./HarmonicSeriesPlain_12.log 			0:41.54
./HarmonicSeriesPlain_13.log 			0:41.48
./HarmonicSeriesPlain_14.log 			0:41.49
./HarmonicSeriesPlain_15.log 			0:41.41
./HarmonicSeriesPlain_16.log 			0:41.43
./HarmonicSeriesPlain_1.log 			0:41.20
./HarmonicSeriesPlain_2.log 			0:41.37
./HarmonicSeriesPlain_3.log 			0:41.31
./HarmonicSeriesPlain_4.log 			0:41.43
./HarmonicSeriesPlain_5.log 			0:41.48
./HarmonicSeriesPlain_6.log 			0:41.46
./HarmonicSeriesPlain_7.log 			0:41.33
./HarmonicSeriesPlain_8.log 			0:41.50
./HarmonicSeriesPlain_9.log 			0:41.48
./HarmonicSeriesAVX256_10.log 			0:10.31
./HarmonicSeriesAVX256_11.log 			0:10.36
./HarmonicSeriesAVX256_12.log 			0:10.32
./HarmonicSeriesAVX256_13.log 			0:10.50
./HarmonicSeriesAVX256_14.log 			0:10.32
./HarmonicSeriesAVX256_15.log 			0:10.40
./HarmonicSeriesAVX256_16.log 			0:10.29
./HarmonicSeriesAVX256_1.log 			0:10.33
./HarmonicSeriesAVX256_2.log 			0:10.27
./HarmonicSeriesAVX256_3.log 			0:10.32
./HarmonicSeriesAVX256_4.log 			0:10.31
./HarmonicSeriesAVX256_5.log 			0:10.28
./HarmonicSeriesAVX256_6.log 			0:10.37
./HarmonicSeriesAVX256_7.log 			0:10.35
./HarmonicSeriesAVX256_8.log 			0:10.33
./HarmonicSeriesAVX256_9.log 			0:10.44
./HarmonicSeriesAVX512_10.log 			0:09.90
./HarmonicSeriesAVX512_11.log 			0:09.91
./HarmonicSeriesAVX512_12.log 			0:09.91
./HarmonicSeriesAVX512_13.log 			0:09.90
./HarmonicSeriesAVX512_14.log 			0:09.90
./HarmonicSeriesAVX512_15.log 			0:09.90
./HarmonicSeriesAVX512_16.log 			0:09.90
./HarmonicSeriesAVX512_1.log 			0:09.87
./HarmonicSeriesAVX512_2.log 			0:09.87
./HarmonicSeriesAVX512_3.log 			0:09.88
./HarmonicSeriesAVX512_4.log 			0:09.89
./HarmonicSeriesAVX512_5.log 			0:09.90
./HarmonicSeriesAVX512_6.log 			0:09.90
./HarmonicSeriesAVX512_7.log 			0:09.90
./HarmonicSeriesAVX512_8.log 			0:09.90
./HarmonicSeriesAVX512_9.log 			0:09.91
