Test 			Wall clock (m:ss)
./HarmonicSeriesPlain_10.log 			0:44.17
./HarmonicSeriesPlain_11.log 			0:44.65
./HarmonicSeriesPlain_12.log 			0:44.53
./HarmonicSeriesPlain_13.log 			0:44.50
./HarmonicSeriesPlain_14.log 			0:44.63
./HarmonicSeriesPlain_15.log 			0:44.56
./HarmonicSeriesPlain_16.log 			0:44.17
./HarmonicSeriesPlain_1.log 			0:44.33
./HarmonicSeriesPlain_2.log 			0:44.08
./HarmonicSeriesPlain_3.log 			0:44.18
./HarmonicSeriesPlain_4.log 			0:44.72
./HarmonicSeriesPlain_5.log 			0:44.86
./HarmonicSeriesPlain_6.log 			0:44.40
./HarmonicSeriesPlain_7.log 			0:44.58
./HarmonicSeriesPlain_8.log 			0:44.65
./HarmonicSeriesPlain_9.log 			0:44.48
./HarmonicSeriesAVX256_10.log 			0:21.68
./HarmonicSeriesAVX256_11.log 			0:21.55
./HarmonicSeriesAVX256_12.log 			0:21.72
./HarmonicSeriesAVX256_13.log 			0:21.86
./HarmonicSeriesAVX256_14.log 			0:27.40
./HarmonicSeriesAVX256_15.log 			0:21.64
./HarmonicSeriesAVX256_16.log 			0:21.78
./HarmonicSeriesAVX256_1.log 			0:21.65
./HarmonicSeriesAVX256_2.log 			0:21.58
./HarmonicSeriesAVX256_3.log 			0:21.73
./HarmonicSeriesAVX256_4.log 			0:21.71
./HarmonicSeriesAVX256_5.log 			0:21.71
./HarmonicSeriesAVX256_6.log 			0:21.60
./HarmonicSeriesAVX256_7.log 			0:21.72
./HarmonicSeriesAVX256_8.log 			0:21.70
./HarmonicSeriesAVX256_9.log 			0:21.70
./HarmonicSeriesAVX512_10.log 			0:21.71
./HarmonicSeriesAVX512_11.log 			0:21.89
./HarmonicSeriesAVX512_12.log 			0:21.76
./HarmonicSeriesAVX512_13.log 			0:21.87
./HarmonicSeriesAVX512_14.log 			0:21.85
./HarmonicSeriesAVX512_15.log 			0:21.46
./HarmonicSeriesAVX512_16.log 			0:27.55
./HarmonicSeriesAVX512_1.log 			0:21.83
./HarmonicSeriesAVX512_2.log 			0:21.81
./HarmonicSeriesAVX512_3.log 			0:21.46
./HarmonicSeriesAVX512_4.log 			0:21.81
./HarmonicSeriesAVX512_5.log 			0:21.84
./HarmonicSeriesAVX512_6.log 			0:21.89
./HarmonicSeriesAVX512_7.log 			0:21.46
./HarmonicSeriesAVX512_8.log 			0:21.84
./HarmonicSeriesAVX512_9.log 			0:21.85
