Test 			Wall clock (m:ss)
./HarmonicSeriesPlain_10.log 			1:00.41
./HarmonicSeriesPlain_11.log 			0:55.01
./HarmonicSeriesPlain_12.log 			0:54.67
./HarmonicSeriesPlain_13.log 			1:00.20
./HarmonicSeriesPlain_14.log 			1:03.51
./HarmonicSeriesPlain_15.log 			0:49.57
./HarmonicSeriesPlain_16.log 			0:51.34
./HarmonicSeriesPlain_1.log 			0:47.07
./HarmonicSeriesPlain_2.log 			0:51.46
./HarmonicSeriesPlain_3.log 			0:52.12
./HarmonicSeriesPlain_4.log 			0:40.67
./HarmonicSeriesPlain_5.log 			0:49.69
./HarmonicSeriesPlain_6.log 			0:52.86
./HarmonicSeriesPlain_7.log 			0:51.82
./HarmonicSeriesPlain_8.log 			1:02.71
./HarmonicSeriesPlain_9.log 			0:46.40
./HarmonicSeriesAVX256_10.log 			0:20.72
./HarmonicSeriesAVX256_11.log 			0:22.09
./HarmonicSeriesAVX256_12.log 			0:29.25
./HarmonicSeriesAVX256_13.log 			0:30.12
./HarmonicSeriesAVX256_14.log 			0:22.99
./HarmonicSeriesAVX256_15.log 			0:29.54
./HarmonicSeriesAVX256_16.log 			0:25.97
./HarmonicSeriesAVX256_1.log 			0:25.17
./HarmonicSeriesAVX256_2.log 			0:28.26
./HarmonicSeriesAVX256_3.log 			0:30.88
./HarmonicSeriesAVX256_4.log 			0:30.11
./HarmonicSeriesAVX256_5.log 			0:23.87
./HarmonicSeriesAVX256_6.log 			0:20.02
./HarmonicSeriesAVX256_7.log 			0:22.29
./HarmonicSeriesAVX256_8.log 			0:19.95
./HarmonicSeriesAVX256_9.log 			0:30.92
./HarmonicSeriesAVX512_10.log 			0:29.17
./HarmonicSeriesAVX512_11.log 			0:33.45
./HarmonicSeriesAVX512_12.log 			0:32.00
./HarmonicSeriesAVX512_13.log 			0:30.23
./HarmonicSeriesAVX512_14.log 			0:30.89
./HarmonicSeriesAVX512_15.log 			0:32.05
./HarmonicSeriesAVX512_16.log 			0:32.62
./HarmonicSeriesAVX512_1.log 			0:22.85
./HarmonicSeriesAVX512_2.log 			0:25.50
./HarmonicSeriesAVX512_3.log 			0:31.08
./HarmonicSeriesAVX512_4.log 			0:22.89
./HarmonicSeriesAVX512_5.log 			0:31.65
./HarmonicSeriesAVX512_6.log 			0:25.77
./HarmonicSeriesAVX512_7.log 			0:30.51
./HarmonicSeriesAVX512_8.log 			0:28.95
./HarmonicSeriesAVX512_9.log 			0:28.86
